1.429814285714285679e-17 1.615314285714285501e-17 2.002900000000000336e-17 2.463642857142857400e-17 2.958514285714285564e-17 3.472700000000000326e-17 3.999057142857142886e-17 4.533671428571428275e-17 5.074171428571428134e-17 5.618985714285713669e-17 6.167071428571428844e-17
1.319215714285714245e-17 1.504271428571428664e-17 1.880914285714285690e-17 2.324099999999999828e-17 2.798185714285714010e-17 3.289728571428572174e-17 3.792314285714285549e-17 4.302371428571428589e-17 4.817757142857142390e-17 5.337057142857143008e-17 5.859285714285713846e-17
1.215642857142857261e-17 1.401454285714285623e-17 1.768385714285714452e-17 2.195442857142857240e-17 2.650299999999999834e-17 3.120900000000000087e-17 3.601457142857142475e-17 4.088757142857142648e-17 4.580857142857142672e-17 5.076500000000000374e-17 5.574799999999999641e-17
1.121750000000000059e-17 1.309742857142857092e-17 1.668928571428571369e-17 2.082171428571428647e-17 2.520357142857143197e-17 2.972699999999999597e-17 3.434000000000000062e-17 3.901399999999999902e-17 4.373142857142856984e-17 4.848071428571428389e-17 5.325400000000000336e-17
1.038851428571428563e-17 1.230562857142857179e-17 1.584428571428571549e-17 1.986757142857142894e-17 2.411442857142857323e-17 2.848842857142857168e-17 3.294314285714285888e-17 3.745299999999999939e-17 4.200214285714285975e-17 4.658014285714285496e-17 5.118000000000000038e-17
9.608742857142857691e-18 1.156512857142857022e-17 1.505400000000000017e-17 1.897414285714285564e-17 2.309285714285714401e-17 2.732542857142857255e-17 3.163042857142856929e-17 3.598514285714285856e-17 4.037528571428571230e-17 4.479142857142856882e-17 4.922728571428570803e-17
8.907728571428572325e-18 1.090854285714285751e-17 1.436028571428571630e-17 1.819371428571428474e-17 2.220342857142857161e-17 2.631442857142856769e-17 3.049042857142857073e-17 3.471128571428571532e-17 3.896385714285714530e-17 4.324014285714285886e-17 4.753414285714285774e-17
8.431314285714286518e-18 1.041838571428571264e-17 1.380702857142856905e-17 1.755357142857143031e-17 2.146399999999999919e-17 2.546857142857142864e-17 2.953357142857142973e-17 3.363985714285714497e-17 3.777557142857143256e-17 4.193314285714285804e-17 4.610699999999999664e-17
7.995371428571428275e-18 9.963685714285714593e-18 1.328774285714285791e-17 1.694885714285714342e-17 2.076314285714285744e-17 2.466499999999999933e-17 2.862299999999999938e-17 3.261914285714285352e-17 3.664271428571428264e-17 4.068628571428571627e-17 4.474485714285714250e-17
7.613057142857142607e-18 9.565114285714284291e-18 1.283359999999999926e-17 1.642128571428571172e-17 2.015271428571428795e-17 2.396599999999999712e-17 2.783157142857143062e-17 3.173257142857142859e-17 3.565885714285714016e-17 3.960385714285714806e-17 4.356271428571428587e-17
7.274328571428571448e-18 9.212100000000000463e-18 1.243165714285714253e-17 1.595485714285714393e-17 1.961371428571428797e-17 2.334928571428571369e-17 2.713371428571428185e-17 3.095114285714285900e-17 3.479214285714285575e-17 3.865042857142857046e-17 4.252157142857142872e-17
6.960700000000000255e-18 8.881271428571429084e-18 1.205117142857142945e-17 1.551085714285714537e-17 1.909871428571428416e-17 2.275871428571428471e-17 2.646428571428571599e-17 3.020057142857142780e-17 3.395885714285714458e-17 3.773314285714285265e-17 4.151928571428571792e-17
6.692228571428571287e-18 8.599971428571428894e-18 1.172999999999999844e-17 1.513828571428571324e-17 1.866842857142857001e-17 2.226671428571428764e-17 2.590771428571428545e-17 2.957757142857142734e-17 3.326785714285714110e-17 3.697300000000000194e-17 4.068928571428571232e-17
6.564728571428571773e-18 8.447100000000000296e-18 1.152780000000000117e-17 1.488000000000000094e-17 1.835100000000000042e-17 2.188799999999999940e-17 2.546671428571428602e-17 2.907342857142857280e-17 3.269985714285714227e-17 3.634085714285714316e-17 3.999257142857143240e-17
6.608542857142856506e-18 8.445614285714286512e-18 1.145694285714285684e-17 1.473814285714285445e-17 1.813857142857142835e-17 2.160585714285714260e-17 2.511557142857142751e-17 2.865385714285714392e-17 3.221257142857143219e-17 3.578614285714286140e-17 3.937085714285714013e-17
6.673557142857143100e-18 8.471585714285714652e-18 1.142375714285714191e-17 1.464514285714285656e-17 1.798642857142857317e-17 2.139571428571428357e-17 2.484828571428571472e-17 2.833014285714286039e-17 3.183300000000000618e-17 3.535114285714286024e-17 3.888100000000000751e-17
6.747199999999999812e-18 8.508014285714287042e-18 1.140487142857143005e-17 1.457057142857142700e-17 1.785728571428571549e-17 2.121299999999999952e-17 2.461285714285714516e-17 2.804285714285714001e-17 3.149428571428571156e-17 3.496171428571428673e-17 3.844114285714285844e-17
6.822528571428572049e-18 8.546757142857142500e-18 1.138931428571428572e-17 1.450057142857142660e-17 1.773385714285714040e-17 2.103728571428571551e-17 2.438557142857142908e-17 2.776471428571428412e-17 3.116614285714285362e-17 3.458385714285714241e-17 3.801400000000000126e-17
6.915414285714285980e-18 8.607042857142857852e-18 1.140257142857142968e-17 1.446728571428571426e-17 1.765557142857142561e-17 2.091514285714285786e-17 2.422057142857143035e-17 2.755757142857143039e-17 3.091757142857142792e-17 3.429442857142856682e-17 3.768414285714286162e-17
7.012528571428571809e-18 8.672599999999999597e-18 1.142284285714285638e-17 1.444314285714285717e-17 1.758828571428571484e-17 2.080600000000000161e-17 2.407057142857143038e-17 2.736771428571428846e-17 3.068828571428571138e-17 3.402628571428571627e-17 3.737771428571428990e-17
7.111657142857143103e-18 8.740228571428572253e-18 1.144590000000000163e-17 1.442242857142857272e-17 1.752557142857142707e-17 2.070228571428571537e-17 2.392700000000000218e-17 2.718485714285714350e-17 3.046700000000000282e-17 3.376700000000000221e-17 3.708085714285713768e-17
